Move Name,Move Description
heal_pulse,The user emits a healing pulse that restores the target's HP by up to half of its max HP.
healing_wish,"The user faints. In return, the Pokémon taking its place will have its HP restored and status conditions cured."
heart_swap,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
helping_hand,The user assists an ally by boosting the power of that ally's attack.
hold_hands,The user and an ally hold hands. This makes them very happy.
hone_claws,The user sharpens its claws to boost its Attack stat and accuracy.
howl,The user howls loudly to raise the spirit of itself and allies. This raises their Attack stats.
hypnosis,The user employs hypnotic suggestion to make the target fall into a deep sleep.
imprison,"If opposing Pokémon know any move also known by the user, they are prevented from using it."
ingrain,"The user lays roots that restore its HP on every turn. Because it's rooted, it can't switch out."
instruct,The user instructs the target to use the target's last move again.
ion_deluge,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
iron_defense,"The user hardens its body's surface like iron, sharply raising its Defense stat."
jungle_healing,"The user becomes one with the jungle, restoring HP and healing any status conditions of itself and its ally Pokémon in battle."
kinesis,The user distracts the target by bending a spoon. This lowers the target's accuracy.
kings_shield,The user takes a defensive stance while it protects itself from damage. It also lowers the Attack stat of any attacker that makes direct contact.
laser_focus,The user concentrates intensely. The attack on the next turn always results in a critical hit.
leech_seed,A seed is planted on the target. It steals some HP from the target every turn.
leer,The user gives opposing Pokémon an intimidating leer that lowers the Defense stat.
life_dew,The user scatters mysterious water around and restores the HP of itself and its ally Pokémon in the battle.
light_screen,A wondrous wall of light is put up to reduce damage from special attacks for five turns.
lock_on,The user takes sure aim at the target. This ensures the next attack does not miss the target.
lovely_kiss,"With a scary face, the user tries to force a kiss on the target. If it succeeds, the target falls asleep."
lucky_chant,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
lunar_dance,"The user faints. In return, the Pokémon taking its place will have its status and HP fully restored."
magic_coat,Moves like Leech Seed and moves that inflict status conditions are blocked by a barrier and reflected back to the user of those moves.
magic_powder,The user scatters a cloud of magic powder that changes the target to Psychic type.
magic_room,The user creates a bizarre area in which Pokémon's held items lose their effects for five turns.
magnet_rise,The user levitates using electrically generated magnetism for five turns.
magnetic_flux,"The user manipulates magnetic fields, which raises the Defense and Sp. Def stats of ally Pokémon with the Plus or Minus Ability."
mat_block,"Using a pulled-up mat as a shield, the user protects itself and its allies from damaging moves. This does not stop status moves."
max_guard,This move enables the user to protect itself from all attacks. Its chance of failing rises if it is used in succession.
me_first,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
mean_look,"The user pins the target with a dark, arresting look. The target becomes unable to flee."
meditate,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
memento,"The user faints when using this move. In return, this harshly lowers the target's Attack and Sp. Atk stats."
metal_sound,A horrible sound like scraping metal harshly lowers the target's Sp. Def stat.
metronome,The user waggles a finger and stimulates its brain into randomly using nearly any move.
milk_drink,The user restores its own HP by up to half of its max HP.
mimic,The user copies the target's last move. The move can be used during battle until the Pokémon is switched out.
mind_reader,The user senses the target's movements with its mind to ensure its next attack does not miss the target.
minimize,"The user compresses its body to make itself look smaller, which sharply raises its evasiveness."
miracle_eye,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
mirror_move,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
mist,The user cloaks itself and its allies in a white mist that prevents any of their stats from being lowered for five turns.
misty_terrain,This protects Pokémon on the ground from status conditions and halves damage from Dragon-type moves for five turns.
moonlight,The user restores its own HP. The amount of HP regained varies with the weather.
morning_sun,The user restores its own HP. The amount of HP regained varies with the weather.
mud_sport,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
nasty_plot,The user stimulates its brain by thinking bad thoughts. This sharply raises the user's Sp. Atk stat.
nature_power,This attack makes use of nature's power. Its effects vary depending on the user's environment.
nightmare,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
no_retreat,This move raises all the user's stats but prevents the user from switching out or fleeing.
noble_roar,"Letting out a noble roar, the user intimidates the target and lowers its Attack and Sp. Atk stats."
obstruct,This move enables the user to protect itself from all attacks. Its chance of failing rises if it is used in succession. Direct contact harshly lowers the attacker's Defense stat.
octolock,The user locks the target in and prevents it from fleeing. This move also lowers the target's Defense and Sp. Def every turn.
odor_sleuth,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
pain_split,"The user adds its HP to the target's HP, then equally shares the combined HP with the target."
parting_shot,"With a parting threat, the user lowers the target's Attack and Sp. Atk stats. Then it switches with a party Pokémon."
perish_song,"Any Pokémon that hears this song faints in three turns, unless it switches out of battle."
play_nice,"The user and the target become friends, and the target loses its will to fight. This lowers the target's Attack stat."
poison_gas,"A cloud of poison gas is sprayed in the face of opposing Pokémon, poisoning those it hits."
poison_powder,The user scatters a cloud of poisonous dust that poisons the target.
powder,"The user covers the target in a combustible powder. If the target uses a Fire-type move, the powder explodes and damages the target."
power_split,The user employs its psychic power to average its Attack and Sp. Atk stats with those of the target.
power_swap,The user employs its psychic power to switch changes to its Attack and Sp. Atk stats with the target.
power_trick,The user employs its psychic power to switch its Attack stat with its Defense stat.
protect,This move enables the user to protect itself from all attacks. Its chance of failing rises if it is used in succession.
psych_up,The user hypnotizes itself into copying any stat change made by the target.
psychic_terrain,This protects Pokémon on the ground from priority moves and powers up Psychic-type moves for five turns.
psycho_shift,"Using its psychic power of suggestion, the user transfers its status conditions to the target."
purify,"The user heals the target's status condition. If the move succeeds, it also restores the user's own HP."
quash,The user suppresses the target and makes its move go last.
quick_guard,The user protects itself and its allies from priority moves.
quiver_dance,"The user lightly performs a beautiful, mystic dance. This boosts the user's Sp. Atk, Sp. Def, and Speed stats."
rage_powder,The user scatters a cloud of irritating powder to draw attention to itself. Opposing Pokémon aim only at the user.
rain_dance,"The user summons a heavy rain that falls for five turns, powering up Water-type moves. It lowers the power of Fire-type moves."
recover,"Restoring its own cells, the user restores its own HP by half of its max HP."
recycle,The user recycles a held item that has been used in battle so it can be used again.
reflect,A wondrous wall of light is put up to reduce damage from physical attacks for five turns.
reflect_type,"The user reflects the target's type, making the user the same type as the target."
refresh,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
rest,The user goes to sleep for two turns. This fully restores the user's HP and heals any status conditions.
roar,"The target is scared off, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon."
rock_polish,The user polishes its body to reduce drag. This sharply raises the Speed stat.
role_play,"The user mimics the target completely, copying the target's Ability."
roost,The user lands and rests its body. This move restores the user's HP by up to half of its max HP.
rototiller,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
safeguard,The user creates a protective field that prevents status conditions for five turns.
sand_attack,"Sand is hurled in the target's face, reducing the target's accuracy."
sandstorm,"A five-turn sandstorm is summoned to hurt all combatants except Rock, Ground, and Steel types. It raises the Sp. Def stat of Rock types."
scary_face,The user frightens the target with a scary face to harshly lower its Speed stat.
screech,An earsplitting screech harshly lowers the target's Defense stat.
sharpen,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
shell_smash,"The user breaks its shell, which lowers Defense and Sp. Def stats but sharply raises its Attack, Sp. Atk, and Speed stats."
shift_gear,"The user rotates its gears, raising its Attack stat and sharply raising its Speed stat."
shore_up,The user regains up to half of its max HP. It restores more HP in a sandstorm.
simple_beam,The user's mysterious psychic wave changes the target's Ability to Simple.
sing,A soothing lullaby is sung in a calming voice that puts the target into a deep slumber.
sketch,"It enables the user to permanently learn the move last used by the target. Once used, Sketch disappears."
skill_swap,The user employs its psychic power to exchange Abilities with the target.
slack_off,"The user slacks off, restoring its own HP by up to half of its max HP."
sleep_powder,The user scatters a big cloud of sleep-inducing dust around the target.
sleep_talk,"While it is asleep, the user randomly uses one of the moves it knows."
smokescreen,The user releases an obscuring cloud of smoke or ink. This lowers the target's accuracy.
snatch,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
soak,The user shoots a torrent of water at the target and changes the target's type to Water.
soft_boiled,The user restores its own HP by up to half of its max HP.
speed_swap,The user exchanges Speed stats with the target.
spider_web,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
spikes,The user lays a trap of spikes at the opposing team's feet. The trap hurts Pokémon that switch into battle.
spiky_shield,"In addition to protecting the user from attacks, this move also damages any attacker that makes direct contact."
spite,The user unleashes its grudge on the move last used by the target by cutting 4 PP from it.
splash,The user just flops and splashes around to no effect at all...
spore,The user scatters bursts of spores that induce sleep.
spotlight,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
stealth_rock,The user lays a trap of levitating stones around the opposing team. The trap hurts opposing Pokémon that switch into battle.
sticky_web,"The user weaves a sticky net around the opposing team, which lowers their Speed stats upon switching into battle."
stockpile,The user charges up power and raises both its Defense and Sp. Def stats. The move can be used three times.
strength_sap,The user restores its HP by the same amount as the target's Attack stat. It also lowers the target's Attack stat.
string_shot,Opposing Pokémon are bound with silk blown from the user's mouth that harshly lowers the Speed stat.
stuff_cheeks,"The user eats its held Berry, then sharply raises its Defense stat."
stun_spore,The user scatters a cloud of numbing powder that paralyzes the target.
substitute,The user creates a substitute for itself using some of its HP. The substitute serves as the user's decoy.
sunny_day,"The user intensifies the sun for five turns, powering up Fire-type moves. It lowers the power of Water-type moves."
supersonic,The user generates odd sound waves from its body that confuse the target.
swagger,"The user enrages and confuses the target. However, this also sharply raises the target's Attack stat."
swallow,The power stored using the move Stockpile is absorbed by the user to heal its HP. Storing more power heals more HP.
sweet_kiss,"The user kisses the target with a sweet, angelic cuteness that causes confusion."
sweet_scent,A sweet scent that harshly lowers opposing Pokémon's evasiveness.
switcheroo,The user trades held items with the target faster than the eye can follow.
swords_dance,A frenetic dance to uplift the fighting spirit. This sharply raises the user's Attack stat.
synthesis,The user restores its own HP. The amount of HP regained varies with the weather.
tail_glow,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
tail_whip,"The user wags its tail cutely, making opposing Pokémon less wary and lowering their Defense stats."
tailwind,The user whips up a turbulent whirlwind that ups the Speed stats of the user and its allies for four turns.
tar_shot,"The user pours sticky tar over the target, lowering the target's Speed stat. The target becomes weaker to Fire-type moves."
taunt,The target is taunted into a rage that allows it to use only attack moves for three turns.
tearful_look,The user gets teary eyed to make the target lose its combative spirit. This lowers the target's Attack and Sp. Atk stats.
teatime,The user has teatime with all the Pokémon in the battle. Each Pokémon eats its held Berry.
teeter_dance,The user performs a wobbly dance that confuses the Pokémon around it.
telekinesis,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
teleport,"The user switches places with a party Pokémon in waiting, if any. If a wild Pokémon uses this move, it flees."
thunder_wave,The user launches a weak jolt of electricity that paralyzes the target.
tickle,"The user tickles the target into laughing, reducing its Attack and Defense stats."
topsy_turvy,All stat changes affecting the target turn topsy-turvy and become the opposite of what they were.
torment,"The user torments and enrages the target, making it incapable of using the same move twice in a row."
toxic,A move that leaves the target badly poisoned. Its poison damage worsens every turn.
toxic_spikes,The user lays a trap of poison spikes at the feet of the opposing team. The spikes will poison opposing Pokémon that switch into battle.
toxic_thread,The user shoots poisonous threads to poison the target and lower the target's Speed stat.
transform,The user transforms into a copy of the target right down to having the same move set.
trick,The user catches the target off guard and swaps its held item with its own.
trick_room,The user creates a bizarre area in which slower Pokémon get to move first for five turns.
trick_or_treat,The user takes the target trick-or-treating. This adds Ghost type to the target's type.
venom_drench,"Opposing Pokémon are drenched in an odd poisonous liquid. This lowers the Attack, Sp. Atk, and Speed stats of a poisoned target."
water_sport,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
whirlwind,"The target is blown away, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon."
wide_guard,The user and its allies are protected from wide-ranging attacks for one turn.
will_o_wisp,The user shoots a sinister flame at the target to inflict a burn.
wish,"One turn after this move is used, the user's or its replacement's HP is restored by half the user's max HP."
withdraw,"The user withdraws its body into its hard shell, raising its Defense stat."
wonder_room,The user creates a bizarre area in which Pokémon's Defense and Sp. Def stats are swapped for five turns.
work_up,"The user is roused, and its Attack and Sp. Atk stats increase."
worry_seed,A seed that causes worry is planted on the target. It prevents sleep by making the target's Ability Insomnia.
yawn,The user lets loose a huge yawn that lulls the target into falling asleep on the next turn.
